NPI Number,Hospital Name,IDN
1013969112,Sarah D Culbertson Memorial Hospital,
1053348532,HSHS Good Shepherd Hospital (FKA Shelby Memorial Hospital),Hospital Sisters Health System (AKA HSHS)
1447228788,FHN Memorial Hospital,
1245227479,Carle Health Pekin Hospital (FKA Pekin Hospital),Carle Health System
1174569438,Hopedale Medical Complex,
1265540488,Union County Hospital,Deaconess Health System
1366480873,Carle Hoopeston Regional Health Center,Carle Health System
1679502322,Horizon Health (AKA Paris Community Hospital),
1427000884,OSF Sacred Heart Medical Center (FKA Presence United Samaritans Medical Center),OSF HealthCare
1326097163,Danville VA Medical Center,VA Great Lakes Health Care System (VISN 12)
1194728808,Wabash General Hospital,Alliant Management Services
1548393184,OSF Holy Family Medical Center,OSF HealthCare
1255422416,Fairfield Memorial Hospital,
1902854623,CGH Medical Center,
1487715645,Ascension Saint Joseph Joliet (FKA AMITA Health Saint Joseph Medical Center Joliet),Ascension Health Illinois
1164530465,Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),AdventHealth (FKA Adventist Health System)
1568553519,Silver Cross Hospital,
1073584058,Heartland Regional Medical Center,Deaconess Health System
1528158573,SIH Herrin Hospital,Southern Illinois Healthcare
1710936174,Marion VA Medical Center,VA Heartland Network (VISN 15)
1477567857,Javon Bea Hospital - Rockton,Mercyhealth (FKA Mercy Health System)
1790739977,OSF Saint Anthony Medical Center,OSF HealthCare
1760542732,UW Health SwedishAmerican Hospital (FKA SwedishAmerican Hospital),University of Wisconsin Health (AKA UW Health)
1184644023,Carle Eureka Hospital (FKA Advocate Eureka Hospital),Carle Health System
1689696148,Adams Memorial Hospital,
1538110556,Dupont Hospital,Lutheran Health Network
1568664613,Parkview Ortho Hospital,Parkview Health
1174706576,The Orthopedic Hospital (FKA Lutheran Musculoskeletal Center),Lutheran Health Network
1306897335,Lutheran Hospital,Lutheran Health Network
1366407603,Parkview Regional Medical Center,Parkview Health
1023060472,Lutheran Downtown Hospital (FKA St Joseph Hospital),Lutheran Health Network
1104998624,Columbus Regional Hospital (AKA Columbus Regional Health),
1871574822,IU Health Blackford Hospital,Indiana University Health (AKA IU Health)
1699757401,Witham Health Services,
1356320469,Logansport Memorial Hospital,
1255369245,St Catherine Regional Hospital (Closed 2015-02-01),
1760659205,Kentuckiana Medical Center (Closed),
1134186315,Clark Memorial Hospital (AKA Clark Memorial Health),Regional Health Network
1770533994,Ascension St Vincent Clay (FKA St Vincent Clay Hospital),St Vincent Health
1346774270,IU Health Frankfort Hospital (FKA St Vincent Frankfort Hospital),Indiana University Health (AKA IU Health)
1861465999,Daviess Community Hospital,St Vincent Health
1326142498,St Elizabeth Dearborn (FKA Highpoint Health),St Elizabeth Healthcare
1952300477,Decatur County Memorial Hospital,
1902897937,Parkview DeKalb Hospital (FKA DeKalb Memorial Hospital),Parkview Health
1225195340,IU Health Ball Memorial Hospital,Indiana University Health (AKA IU Health)
1003895947,Memorial Hospital and Health Care Center,
1477551489,Elkhart General Hospital,Beacon Health System
1740268846,Goshen Health Hospital,
1508825720,Fayette Regional Health System (Closed),
1497798847,Baptist Health Floyd (FKA Floyd Memorial Hospital and Health Services),Baptist Health (Louisville KY)
1689857385,Physicians Medical Center,
1558346007,Deaconess Gibson Hospital (FKA Gibson General Hospital),Deaconess Health System
1225087786,Marion VA Medical Center,VA Healthcare System Serving Ohio Indiana and Michigan (VISN 10)
1770679201,Marion Health (AKA Marion General Hospital),
1184695389,Greene County General Hospital,
1568492916,IU Health North Hospital,Indiana University Health (AKA IU Health)
1982681748,St Vincent Heart Center of Indiana,St Vincent Health
1639124134,Ascension St Vincent Carmel (FKA St Vincent Carmel Hospital),St Vincent Health
1700883717,Riverview Health Noblesville Hospital,Riverview Health
1467485003,Hancock Regional Hospital (AKA Hancock Health),
1851378137,Harrison County Hospital,
1063443455,IU Health West Hospital (FKA Clarian West Medical Center),Indiana University Health (AKA IU Health)
1669475950,Hendricks Regional Health - Danville Hospital,Hendricks Regional Health
1356428429,Henry Community Health,
1780625442,Ascension St Vincent Kokomo,St Vincent Health
1902878994,Community Howard Regional Health,Community Howard Regional Health
1003821729,Parkview Huntington Hospital,Parkview Health
1699738088,Schneck Medical Center,
1932589173,Franciscan Health Rensselaer (FKA Jasper County Hospital),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1801315692,IU Health Jay Hospital (FKA Jay County Hospital),Indiana University Health (AKA IU Health)
1518916048,Norton Kings Daughters Hospital (FKA Kings Daughters Health),Norton Healthcare
1285684829,Ascension St Vincent Jennings (FKA St Vincent Jennings Hospital),St Vincent Health
1346248986,Johnson Memorial Hospital (AKA Johnson Memorial Health),
1225032881,Good Samaritan Hospital,
1164475711,Lutheran Kosciusko Hospital (FKA Kosciusko Community Hospital),Lutheran Health Network
1679674956,Parkview LaGrange Hospital,Parkview Health
1720271844,Surgical Hospital of Munster (Closed 2011-01-01 - No Longer an Inpatient Facility),
1427493246,Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1801969670,Pinnacle Hospital,
1003918210,Community Hospital,Community Healthcare System (Munster IN)
1336205798,Franciscan Health Crown Point (FKA Franciscan St Anthony Health - Crown Point),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1811077431,Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1306921911,Franciscan Health Hammond (FKA Franciscan St Margaret Health - Hammond Campus - Closed),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1558463745,St Mary Medical Center,Community Healthcare System (Munster IN)
1467504555,Methodist Hospitals - Northlake,Methodist Hospitals
1689776882,St Catherine Hospital,Community Healthcare System (Munster IN)
1750746285,Northwest Health - La Porte (FKA La Porte Hospital),Northwest Health Porter (FKA Porter Health Care System)
1710051941,Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1548260284,IU Health Bedford Hospital,Indiana University Health (AKA IU Health)
1497074728,Ascension St Vincent Dunn (FKA St Vincent Dunn Hospital - Closed),St Vincent Health
1679578850,Ascension St Vincent Anderson (FKA St Johns Health System),St Vincent Health
1972500452,Community Hospital Anderson (FKA Community Hospital of Anderson and Madison County),Community Health Network (Indianapolis IN)
1477508596,Ascension St Vincent Mercy (FKA St Vincent Mercy Hospital),St Vincent Health
1619163854,Community Hospital North,Community Health Network (Indianapolis IN)
1235109778,Community Hospital South,Community Health Network (Indianapolis IN)
1609873124,Community Westview Hospital (Closed),Community Health Network (Indianapolis IN)
1508979683,OrthoIndy Northwest Hospital (AKA OrthoIndy Hospital Main),
1205816832,Community Heart and Vascular Hospital (FKA Indiana Heart Hospital),Community Health Network (Indianapolis IN)
1386749893,Franciscan Health Indianapolis (FKA Franciscan St Francis Health - Indianapolis),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1306898960,Ascension St Vincent Hospital - Indianapolis,St Vincent Health
1336119478,Community Hospital East,Community Health Network (Indianapolis IN)
1083908966,Franciscan St Francis Health Beech Grove Campus (Closed 2012-03-01),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1568407310,Eskenazi Health (AKA Sidney & Lois Eskenazi Hospital),Health & Hospital Corporation of Marion County
1811946361,Richard L Roudebush VA Medical Center,VA Healthcare System Serving Ohio Indiana and Michigan (VISN 10)
1144266024,IU Health Methodist Hospital,Indiana University Health (AKA IU Health)
1174571129,St Joseph Health System Plymouth Medical Center (FKA St Josephs Regional Medical Center - Plymouth),St Joseph Health System (Mishawaka IN)
1568417004,Community Hospital of Bremen,Beacon Health System
1619920949,Dukes Memorial Hospital,Lutheran Health Network
1740686443,Monroe Hospital,Prime Healthcare Services
1205860335,IU Health Bloomington Hospital,Indiana University Health (AKA IU Health)
1588774558,Franciscan Health Crawfordsville (FKA Franciscan St Elizabeth Health - Crawfordsville),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1730140591,IU Health Morgan (FKA Indiana University Health Morgan Hospital & Medical Center),Indiana University Health (AKA IU Health)
1679678197,Franciscan Health Mooresville (FKA Franciscan St Francis Health - Mooresville),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1457366189,Parkview Noble Hospital,Parkview Health
1699779017,Perry County Memorial Hospital,
1215151154,Northwest Health - Porter (AKA Porter Regional Hospital),Northwest Health Porter (FKA Porter Health Care System)
1912947490,Putnam County Hospital,
1609826783,Ascension St Vincent Randolph,St Vincent Health
1558368449,Margaret Mary Health (FKA Margaret Mary Community Hospital),
1497726020,Rush Memorial Hospital,
1518197011,Unity Physicians Hospital (FKA Unity Medical and Surgical Hospital),Medical Facilities Corporation
1841245594,Mishawaka Medical Center (FKA St Joseph Regional Medical Center),St Joseph Health System (Mishawaka IN)
1295772093,Memorial Hospital of South Bend,Beacon Health System
1013251594,Scott Memorial Hospital,Regional Health Network
1174555692,Major Health Partners Medical Center (FKA Major Hospital),
1679948319,Northwest Health - Starke (FKA Starke Hospital),Northwest Health Porter (FKA Porter Health Care System)
1386683316,Cameron Memorial Community Hospital,
1497759260,Sullivan County Community Hospital,
1326296211,IU Health Arnett Hospital,Indiana University Health (AKA IU Health)
1356435341,Franciscan Health Lafayette East (FKA Franciscan St Elizabeth Health - Lafayette East Campus),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1538253521,Franciscan Health Lafayette Central (FKA Franciscan St Elizabeth Health - Lafayette Central Campus - Closed),Franciscan Health (FKA Franciscan Alliance St Francis Health Services)
1699876094,IU Health Tipton Hospital,Indiana University Health (AKA IU Health)
1427082957,Ascension St Vincent Evansville (FKA St Marys Medical Center - Evansville Campus),St Vincent Health
1053361642,Deaconess Midtown Hospital,Deaconess Health System
1306844519,Union Hospital Clinton,Union Hospital Health Group
1073550133,Terre Haute Regional Hospital,HCA Capital Division
1619975331,Union Hospital,Union Hospital Health Group
1245259878,Parkview Wabash Hospital (AKA Wabash County Hospital),Parkview Health
1518913565,Ascension St Vincent Williamsport (FKA St Vincent Williamsport Hospital),St Vincent Health
1124292446,The Heart Hospital at Deaconess Gateway,Deaconess Health System
1205828803,Ascension St Vincent Warrick (FKA St Marys Warrick Hospital),St Vincent Health
1114023512,The Womens Hospital (AKA Deaconess Womens Hospital),Deaconess Health System
1427388982,Ascension St Vincent Salem,St Vincent Health
1063457380,Reid Health (FKA Reid Hospital & Health Care Services),
1376594366,Bluffton Regional Medical Center,Lutheran Health Network
1710983945,IU Health White Memorial Hospital,Indiana University Health (AKA IU Health)
1205844495,Parkview Whitley Hospital,Parkview Health
1780667519,Adair County Memorial Hospital,MercyOne (FKA Mercy Health Network)
1699856260,CHI Health Mercy Corning (FKA Alegent Health Mercy Hospital Corning),CHI Health (FKA Alegent Creighton Health)
1164599643,Veterans Memorial Hospital,
1356391635,MercyOne Centerville Medical Center (FKA Mercy Medical Center - Centerville),MercyOne (FKA Mercy Health Network)
1710951686,Audubon County Memorial Hospital,
1336231091,Allen Hospital (FKA Allen Memorial Hospital),UnityPoint Health Waterloo (FKA Allen Health System)
1942241955,MercyOne Cedar Falls Medical Center (FKA Sartori Memorial Hospital),MercyOne (FKA Mercy Health Network)
1700827896,MercyOne Waterloo Medical Center (FKA Covenant Medical Center),MercyOne (FKA Mercy Health Network)
1467434225,Boone County Hospital,
1447299953,Waverly Health Center,
1265595144,Buchanan County Health Center,
1134191653,Buena Vista Regional Medical Center,UnityPoint Health Fort Dodge (FKA Trinity Health Systems)
1063497188,Stewart Memorial Community Hospital,UnityPoint Health Fort Dodge (FKA Trinity Health Systems)
1720067127,St Anthony Regional Hospital,
1467509141,Manning Regional Healthcare Center,MercyOne (FKA Mercy Health Network)
1093760944,Cass Health (FKA Cass County Memorial Hospital),
1467537886,MercyOne North Iowa Medical Center (FKA Mercy Medical Center - North Iowa),MercyOne (FKA Mercy Health Network)
1689640500,Cherokee Regional Medical Center,
1770651515,MercyOne New Hampton Medical Center (FKA Mercy Medical Center - New Hampton),MercyOne (FKA Mercy Health Network)
1114954997,Clarke County Hospital,UnityPoint Health Des Moines (FKA Iowa Health - Des Moines)
1255328621,Spencer Hospital,
1184645434,MercyOne Elkader Medical Center (FKA Central Community Hospital),MercyOne (FKA Mercy Health Network)
1932139359,Guttenberg Municipal Hospital,MercyOne (FKA Mercy Health Network)
1649368523,Genesis Medical Center - Dewitt,Genesis Health System
1427093962,MercyOne Clinton Medical Center (FKA Mercy Medical Center - Clinton),MercyOne (FKA Mercy Health Network)
1578555116,Crawford County Memorial Hospital,
1669477089,Dallas County Hospital,MercyOne (FKA Mercy Health Network)
1942255666,Davis County Hospital,MercyOne (FKA Mercy Health Network)
1144209255,Decatur County Hospital,MercyOne (FKA Mercy Health Network)
1750354676,Regional Medical Center,
1134168263,Southeast Iowa Regional Medical Center - West Burlington Campus (FKA Great River Medical Center),Great River Health System
1508862012,Lakes Regional Healthcare,Avera Health
1942392600,UnityPoint Health - Finley Hospital (FKA UnityPoint Health Dubuque - Finley Hospital),UnityPoint Health (FKA Iowa Health System)
1659348506,MercyOne Dubuque Medical Center (FKA Mercy Medical Center - Dubuque),MercyOne (FKA Mercy Health Network)
1205816725,MercyOne Dyersville Medical Center (FKA Mercy Medical Center - Dyersville),MercyOne (FKA Mercy Health Network)
1508810177,Avera Holy Family Hospital,Avera Health
1528009511,MercyOne Oelwein Medical Center (FKA Mercy Hospital),MercyOne (FKA Mercy Health Network)
1598765398,Gundersen Palmer Lutheran Hospital (FKA Palmer Lutheran Health Center),Gundersen Health System
1477637759,Franklin General Hospital,MercyOne (FKA Mercy Health Network)
1083654883,Greene County Medical Center,UnityPoint Health Des Moines (FKA Iowa Health - Des Moines)
1821055989,Grundy County Memorial Hospital,UnityPoint Health Waterloo (FKA Allen Health System)
1366414534,Guthrie County Hospital,UnityPoint Health Des Moines (FKA Iowa Health - Des Moines)
1295702397,Van Diest Medical Center (FKA Hamilton County Public Hospital),MercyOne (FKA Mercy Health Network)
1912938606,Hancock County Memorial Hospital (AKA Hancock County Health System Memorial Hospital),MercyOne (FKA Mercy Health Network)
1831296052,Hansen Family Hospital (FKA Ellsworth Municipal Hospital),MercyOne (FKA Mercy Health Network)
1508964123,CHI Health Missouri Valley (FKA Alegent Health Community Memorial Hospital),CHI Health (FKA Alegent Creighton Health)
1437141181,Henry County Health Center,Great River Health System
1417991316,Regional Health Services of Howard County,Avera Health
1265461180,Horn Memorial Hospital,
1053368191,Compass Memorial Healthcare (FKA Marengo Memorial Hospital),
1912960758,Jackson County Regional Health Center,Genesis Health System
1003296179,MercyOne Newton Medical Center (FKA Skiff Medical Center),MercyOne (FKA Mercy Health Network)
1376648329,Jefferson County Health Center,
1376544320,University of Iowa Hospitals & Clinics,University of Iowa Health Care
1578512687,Iowa City VA Medical Center,VA Midwest Health Care Network (VISN 23)
1982664124,Mercy Hospital - Iowa City (AKA Mercy Iowa City),MercyOne (FKA Mercy Health Network)
1164514741,UnityPoint Health Jones Regional Medical Center,UnityPoint Health (FKA Iowa Health System)
1841361276,Kossuth Regional Health Center,MercyOne (FKA Mercy Health Network)
1902810856,Southeast Iowa Regional Medical Center - Fort Madison Campus (FKA Fort Madison Community Hospital),Great River Health System
1427032457,Blessing Health Keokuk (FKA UnityPoint Health Keokuk - Closed 2022-10-01),Blessing Health System
1083708226,UnityPoint Health St Lukes Hospital,UnityPoint Health (FKA Iowa Health System)
1720029333,Mercy Medical Center - Cedar Rapids,
1588636351,Lucas County Health Center,UnityPoint Health Des Moines (FKA Iowa Health - Des Moines)
,Sanford Rock Rapids Medical Center (Closed - No Longer Offers Inpatient Services),Sanford Health
1831104611,Madison County Memorial Hospital,MercyOne (FKA Mercy Health Network)
1356320659,Mahaska Health Partnership (FKA Mahaska County Hospital),
1578520888,Pella Regional Health Center,
1922087915,Knoxville Hospital & Clinics,MercyOne (FKA Mercy Health Network)
1629503057,UnityPoint Health - Marshalltown,UnityPoint Health Waterloo (FKA Allen Health System)
1730253360,Burgess Health Center,
1205895299,Monroe County Hospital,MercyOne (FKA Mercy Health Network)
1376539338,Montgomery County Memorial Hospital,
1861444333,UnityPoint Health - Trinity Muscatine,UnityPoint Health Trinity (FKA Trinity Regional Health System)
1851327563,MercyOne Primghar Medical Center (FKA Baum Harmon Mercy Hospital),MercyOne (FKA Mercy Health Network)
1841200623,Sanford Sheldon Medical Center,Sanford Health
1780751222,Osceola Regional Health Center (AKA Osceola Community Hospital),Avera Health
1366486946,Clarinda Regional Health Center,
1184621096,Shenandoah Medical Center,
1790793651,Palo Alto County Hospital (AKA Palo Alto County Health System),MercyOne (FKA Mercy Health Network)
1326109315,Floyd Valley Healthcare,Avera Health
1326006123,Iowa Lutheran Hospital,UnityPoint Health Des Moines (FKA Iowa Health - Des Moines)
1467447508,Broadlawns Medical Center,
1396837951,Iowa Methodist Medical Center,UnityPoint Health Des Moines (FKA Iowa Health - Des Moines)
1508964883,MercyOne Des Moines Medical Center (FKA Mercy Medical Center - Des Moines),MercyOne (FKA Mercy Health Network)
1184673949,Des Moines VA Medical Center,VA Midwest Health Care Network (VISN 23)
1457448755,Methodist Jennie Edmundson Hospital,Methodist Health System (AKA Nebraska Methodist Health System)
1265517759,CHI Health Mercy Council Bluffs (FKA Alegent Health Mercy Hospital Council Bluffs),CHI Health (FKA Alegent Creighton Health)
1669420501,UnityPoint Health Grinnell Regional Medical Center,UnityPoint Health (FKA Iowa Health System)
1811046568,Ringgold County Hospital,MercyOne (FKA Mercy Health Network)
1972542264,Genesis Medical Center - East Rusholme Street,Genesis Health System
1124110820,UnityPoint Health - Trinity Bettendorf,UnityPoint Health Trinity (FKA Trinity Regional Health System)
1598871469,Myrtue Medical Center,
1700856796,Orange City Area Health System (FKA Orange City Hospital),
1326056755,Sioux Center Health,Avera Health
1730182569,Hegg Health Center (FKA Hegg Memorial Health Center Avera),Avera Health
1841261104,Hawarden Regional Healthcare (FKA Hawarden Community Hospital),MercyOne (FKA Mercy Health Network)
1215054713,Story County Medical Center (FKA Story County Hospital),UnityPoint Health Des Moines (FKA Iowa Health - Des Moines)
1477539492,Mary Greeley Medical Center,
1902805062,Greater Regional Medical Center,
1508810714,Van Buren County Hospital,
1013233741,Ottumwa Regional Health Center,LifePoint Health (FKA LifePoint Hospitals)
1053305326,Washington County Hospital,
1174599468,Wayne County Hospital,MercyOne (FKA Mercy Health Network)
1487759858,Trinity Regional Medical Center,UnityPoint Health Fort Dodge (FKA Trinity Health Systems)
1619922051,Winneshiek Medical Center,
1538199617,MercyOne Siouxland Medical Center (FKA Mercy Medical Center - Sioux City),MercyOne (FKA Mercy Health Network)
1962594622,UnityPoint Health St Lukes Regional Medical Center (AKA UnityPoint Health - St Lukes Hospital Sioux City),UnityPoint Health (FKA Iowa Health System)
1932142726,Iowa Specialty Hospital - Belmond,Iowa Specialty Hospitals & Clinics
1821045451,Iowa Specialty Hospital - Clarion,Iowa Specialty Hospitals & Clinics
1639185457,Allen County Regional Hospital,Saint Lukes Health System (Kansas City MO)
1316911878,Anderson County Hospital,Saint Lukes Health System (Kansas City MO)
1932151487,Amberwell Atchison (FKA Atchison Hospital),Amberwell Health
1437152766,Kiowa District Hospital,Great Plains Health Alliance (AKA GPHA)
1114964111,Clara Barton Medical Center (FKA Clara Barton Hospital),
1548750417,The University of Kansas Health System - Great Bend Campus,The University of Kansas Health System
1891735940,St Rose Health Center (Closed - No Longer Offering Inpatient Services),The University of Kansas Health System
1558478016,Mercy Hospital Fort Scott (Closed),Mercy (MO)
1255421210,Amberwell Hiawatha (FKA Hiawatha Community Hospital),Amberwell Health
1255380127,Kansas Medical Center,
1700994977,Susan B Allen Memorial Hospital,
1033114277,Sedan City Hospital,Ascension St John Health System (FKA St John Health System)
1992736458,Cheyenne County Hospital,Great Plains Health Alliance (AKA GPHA)
1265529614,Ashland Health Center,Great Plains Health Alliance (AKA GPHA)
1265485817,Clay County Medical Center,
1558364760,North Central Kansas Medical Center (FKA Cloud County Health Center),Salina Regional Health Center
1376548370,Coffey County Hospital (AKA Coffey Health System),
1003845652,Comanche County Hospital,Great Plains Health Alliance (AKA GPHA)
1609842681,South Central Kansas Regional Medical Center,
1548229149,William Newton Hospital,
1578505095,Girard Medical Center,
1831125087,Ascension Via Christi Hospital in Pittsburg,Ascension Via Christi Health
1215908454,Herington Municipal Hospital,
1992759633,Memorial Hospital,Salina Regional Health Center
1508883422,Lawrence Memorial Hospital (AKA LMH Health),
1851403869,Edwards County Medical Center,Great Plains Health Alliance (AKA GPHA)
1881697043,HaysMed (AKA Hays Medical Center),
1083614028,Ellsworth County Medical Center,Great Plains Health Alliance (AKA GPHA)
1659360196,St Catherine Hospital,Centura Health
1336231232,St Catherine Hospital - Dodge City (FKA Western Plains Medical Complex),Centura Health
1972063758,AdventHealth Ottawa (FKA Ransom Memorial Hospital),AdventHealth (FKA Adventist Health System)
1932204385,Stormont Vail Health - Flint Hills Campus (FKA Geary Community Hospital),Stormont Vail Health
1932192465,Gove County Medical Center,
1588673297,Graham County Hospital,
1811432594,Bob Wilson Memorial Hospital (FKA Bob Wilson Memorial Grant County Hospital),Centura Health
1285742536,Greeley County Health Services,
1629044961,Greenwood County Hospital,Great Plains Health Alliance (AKA GPHA)
1932136074,Hamilton County Hospital,
1598726275,Harper Campus (Closed),Hospital District #6 (AKA HD6)
1245238435,NMC Health Medical Center (FKA Newton Medical Center),
1821098252,Hodgeman County Health Center,
1902805716,Holton Community Hospital,
1235167750,FW Huston Medical Center (FKA Jefferson County Memorial Hospital),
1336184647,Jewell County Hospital,Great Plains Health Alliance (AKA GPHA)
1871698472,Ascentist Hospital (AKA Doctors Hospital LLC),
1679833008,The University of Kansas Health - Indian Creek Campus (FKA Heartland Surgical Specialty Hospital),The University of Kansas Health System
1457364408,Kansas City Orthopaedic Institute,Saint Lukes Health System (Kansas City MO)
1578500484,Overland Park Regional Medical Center,HCA Mid America Division (AKA HCA Midwest Health)
1265065932,Meadowbrook Rehabilitation Hospital,
1255378337,Menorah Medical Center,HCA Mid America Division (AKA HCA Midwest Health)
1154303337,Saint Lukes South Hospital,Saint Lukes Health System (Kansas City MO)
1023171634,AdventHealth Shawnee Mission (FKA Shawnee Mission Medical Center),AdventHealth (FKA Adventist Health System)
1144266115,Olathe Medical Center,The University of Kansas Health System
1821096322,Kearny County Hospital,Great Plains Health Alliance (AKA GPHA)
1285629956,Kingman Healthcare Center (FKA Kingman Community Hospital),
1215992656,Oswego Community Hospital (Closed),HMC/CAH Consolidated (FKA Rural Community Hospitals of America - Closed)
1578560421,Labette Health,
1497704944,Dwight D Eisenhower VA Medical Center,VA Heartland Network (VISN 15)
1568705267,Saint John Hospital,Prime Healthcare Services
1366486797,Saint Lukes Cushing Hospital (FKA Cushing Memorial Hospital - Closed),Saint Lukes Health System (Kansas City MO)
1245643576,Newman Regional Health,
1730297409,McPherson Center for Health (AKA McPherson Hospital),
1083628911,Mercy Hospital,Great Plains Health Alliance (AKA GPHA)
1881697811,Lindsborg Community Hospital,Salina Regional Health Center
1326087966,St Luke Hospital,
1740828912,Hillsboro Community Hospital,
1922004076,Artesian Valley Health System (FKA Meade District Hospital),
1700824398,Miami County Medical Center,The University of Kansas Health System
1427151992,Mitchell County Hospital Health Systems,Great Plains Health Alliance (AKA GPHA)
1093723041,Mercy Hospital Independence (Closed 2015-10-01),Mercy (MO)
1285600379,Coffeyville Regional Medical Center,
1750314720,Morris County Hospital,Great Plains Health Alliance (AKA GPHA)
1770511297,Morton County Hospital,
1669470712,Nemaha Valley Community Hospital,
1306875745,Sabetha Community Hospital,Great Plains Health Alliance (AKA GPHA)
1073566949,Neosho Memorial Regional Medical Center,
1457452898,Ness County Hospital,
1295778892,Grisell Memorial Hospital,Great Plains Health Alliance (AKA GPHA)
1801892740,Norton County Hospital,Great Plains Health Alliance (AKA GPHA)
1639261811,Osborne County Memorial Hospital,Great Plains Health Alliance (AKA GPHA)
1902914823,Ottawa County Health Center,Great Plains Health Alliance (AKA GPHA)
1639268246,Phillips County Hospital (AKA Phillips County Health Systems),Great Plains Health Alliance (AKA GPHA)
1457351389,Community Hospital - Onaga,Community HealthCare System (Onaga KS)
1588657928,Wamego Health Center (FKA Wamego City Hospital),Ascension Via Christi Health
1578596904,Pratt Regional Medical Center,
1922039320,Hutchinson Regional Medical Center (AKA Promise Regional Medical Center Hutchinson),
1932117975,The Summit Surgical Hospital,
1396765145,Republic County Hospital,Great Plains Health Alliance (AKA GPHA)
1629053228,Manhattan Surgical Hospital,
1760482517,Ascension Via Christi Hospital in Manhattan (FKA Mercy Regional Health Center),Ascension Via Christi Health
1417939729,Russell Regional Hospital,
1164420329,Salina Surgical Hospital,Great Plains Health Alliance (AKA GPHA)
1689635138,Salina Regional Health Center,Salina Regional Health Center
1144263443,Scott County Hospital,
1154314789,Ascension Via Christi St Francis,Ascension Via Christi Health
1447299649,Wesley Medical Center,HCA Continental Division - Wesley Healthcare
1487939658,Wesley Woodlawn Hospital & ER (FKA Galichia Heart Hospital),HCA Continental Division - Wesley Healthcare
1417950650,Kansas Spine & Specialty Hospital,
1609826924,Robert J Dole VA Medical Center,VA Heartland Network (VISN 15)
1114928108,Kansas Heart Hospital,
1306827878,Kansas Surgery & Recovery Center,
1538109251,Southwest Medical Center,
1912423260,The University of Kansas Health System St Francis Campus (FKA St Francis Health St Francis Health Center),Americas Division
1194782409,Stormont Vail Hospital,Stormont Vail Health
1184635229,Sheridan County Hospital,Sheridan County Health Complex
1598839045,Goodland Regional Medical Center,Centura Health
1700985116,Smith County Memorial Hospital,Great Plains Health Alliance (AKA GPHA)
1679578223,Sumner Community Hospital (Closed),
1922001015,Trego County-Lemke Memorial Hospital,Great Plains Health Alliance (AKA GPHA)
1962403584,Washington County Hospital,
1740271295,Wichita County Health Center,Great Plains Health Alliance (AKA GPHA)
1669441176,Wilson Medical Center,Great Plains Health Alliance (AKA GPHA)
1285634006,Fredonia Regional Hospital,Great Plains Health Alliance (AKA GPHA)
1528301900,Providence Medical Center,Prime Healthcare Services
1649259656,The University of Kansas Hospital,The University of Kansas Health System
1134585656,TJ Health Columbia,TJ Regional Health
1710906565,The Medical Center at Scottsville,Med Center Health (FKA Commonwealth Health Corporation)
1770581894,T J Samson Community Hospital,TJ Regional Health
1891792495,Middlesboro ARH Hospital,Appalachian Regional Healthcare (AKA ARH)
1821085440,Pineville Community Health Center (FKA Southeastern KY Medical Center),
1154365062,St Elizabeth Florence,St Elizabeth Healthcare
1427132158,Bourbon Community Hospital,LifePoint Health (FKA LifePoint Hospitals)
1851346720,Kings Daughters Medical Center,Kings Daughters Health System
1821135963,Ephraim McDowell Regional Medical Center,Ephraim McDowell Health
1346247962,Kentucky River Medical Center,Quorum Health Corporation
1104828383,Breckinridge Health (FKA Breckinridge Memorial Hospital),Alliant Management Services
1780688333,Caldwell Medical Center,
1073504981,Murray Calloway County Hospital,
1740221795,St Elizabeth Ft Thomas (FKA Cardinal Hill Specialty Hospital),St Elizabeth Healthcare
1225159601,Carroll County Memorial Hospital,UofL Health
1407829567,Casey County Hospital,CCH & JTCH Management Team
1235139312,Jennie Stuart Health,
1811213994,Clark Regional Medical Center,LifePoint Health (FKA LifePoint Hospitals)
1811922347,AdventHealth Manchester (FKA Manchester Memorial Hospital),AdventHealth (FKA Adventist Health System)
1598125502,The Medical Center at Albany (FKA Clinton County Hospital),Med Center Health (FKA Commonwealth Health Corporation)
1245209790,Crittenden Community Hospital (FKA Crittenden Health System),
1073567608,Cumberland County Hospital,
1285613612,Owensboro Health Regional Hospital,Owensboro Health
1487643821,Mercy Health - Marcum and Wallace Hospital,Mercy Health (FKA Catholic Health Partners)
